timestamp,RSI,ATR,VOL_RATIO,EMA_FAST_SLOPE,PRICE_VS_EMA_SLOW,MACD_HIST,label
2021-04-18,43.350250485589925,2990.500683343685,1.5404261777997579,1103.7603266196966,0.5689089147443289,-303.172350943762,0
2021-04-19,42.219339471147265,3001.9978444582266,1.0238851497555161,770.850914301278,0.5466363264531923,-585.7107342989509,0
2021-04-20,44.5889192668104,3045.7195389691083,1.061191494720802,472.34772280907055,0.558618552142379,-696.8031873335974,0
2021-04-21,38.725621235084674,3046.91842235561,0.8636286951289981,153.16941137539106,0.4805866889711977,-904.625523968743,0
2021-04-22,34.629965867951626,3174.0255337274025,1.1614092105597391,-202.70181554129522,0.4157639094181366,-1133.1172138199775,0
2021-04-23,33.442025204276376,3262.032918067331,1.318060319860917,-395.63630316712806,0.3919710449536057,-1265.8600200336668,0
2021-04-24,31.620199834124016,3197.7646623600153,0.7463990794654143,-602.6073672586208,0.3586469565302731,-1352.6238090091276,0
2021-04-25,29.86184355721048,3208.3911262705506,0.7101661166587452,-871.8689349641645,0.3258795491294906,-1403.1819382787035,1
2021-04-26,45.50668922689385,3367.4494060489737,0.9029315291932173,-833.142150749889,0.4549519699868183,-1038.20104257825,1
2021-04-27,48.02337778095715,3276.758544005461,0.7819145081850379,-672.2015271910641,0.4751132472321904,-685.197254152497,0
2021-04-28,47.5361691427948,3209.7964378746155,0.7620678307471368,-499.5249660757254,0.4626933248844913,-434.4871637442625,0
2021-04-29,44.56979867586532,3173.2264354590006,0.7320472249035378,-342.5144894649129,0.42275054945657803,-327.76714312625074,1
2021-04-30,54.64179988329263,3287.361489630383,0.8361031169924393,13.894779729787842,0.5260853702093609,32.59714382020104,0
2021-05-04,44.00896101595563,3077.680223599132,1.134159429338864,282.8901261966457,0.3830191480868926,184.29988300260732,1
2021-05-05,53.124008021308576,3210.867964690074,1.1375548525912158,259.0054950222693,0.4818794918769115,303.8576472052978,0
2021-05-07,52.882695181206905,3200.888724154283,1.135931902532719,213.596623817175,0.46654968811583825,351.2473368761657,0
2021-05-10,48.76958027098031,3286.2629658135916,1.2193419224669002,370.7203491221735,0.4085775103976054,300.8355316663559,0
2021-05-11,50.71644217730527,3213.2363699125904,1.0358934424211637,368.26302538208256,0.42378953992661184,234.2246535378082,0
2021-05-12,37.12889856281196,3611.49292449865,1.270425001366502,32.02262487690314,0.23124771510806796,-301.62851428668284,0
2021-05-13,38.45849047097859,3664.3023027396484,1.6199152484037382,-325.60908345160715,0.24238385198206397,-584.6358918938139,0
2021-05-14,38.86302586065118,3586.10492832656,0.9282823594887225,-640.3609331201733,0.24344100557247947,-718.6070350015018,0
2021-05-15,34.258441324807926,3613.920536161081,0.9747126459326415,-972.0961661350739,0.16373758141447367,-960.1256460548802,0
2021-05-16,33.83762449041796,3766.975598496366,1.0502392471760373,-1335.8773213846725,0.15437481392846458,-1074.4792998086232,0
2021-05-17,30.025949120341306,3813.3537366025535,1.2031389415781293,-1503.6085416244896,0.08097218143270625,-1267.53090577081,0
2021-05-18,29.261984749128377,3787.015969674762,0.8966137410025077,-1711.576405188236,0.064684554897653,-1350.7294496576033,0
2021-05-19,23.266537083277402,4435.416336311285,1.8950025359029516,-2149.479046161243,-0.08113258961001124,-1694.5182060121122,0
2021-05-20,32.761290646295215,4648.055683016962,1.2892778560851537,-2299.595523517659,0.01261368420726257,-1561.5375722274975,0
2021-05-21,29.18338582840203,4927.174473750016,1.1649316249374129,-2568.2924515169652,-0.07306420631222604,-1596.3496671415915,0
2021-05-22,29.7344948136489,4821.474232239065,0.8036629257583485,-2702.9036850359043,-0.06667598445156665,-1494.1048974790078,0
2021-05-23,27.03266640127668,4981.50313764137,1.0788748824879002,-2916.0768861129254,-0.13428524776437328,-1499.2348703717971,1
2021-05-24,35.94990201552212,5003.114241663651,0.9268955317030003,-2734.9154763633996,-0.03595383207975239,-1140.3084371809928,0
2021-05-25,35.588381099142545,4873.957643964226,0.7804957901332094,-2721.017442976605,-0.04310513494508448,-839.9480731713088,1
2021-05-26,37.57362781066037,4731.263682705529,0.7220549170401589,-2536.2909623696833,-0.020675677999522798,-513.8177873926443,0
2021-05-27,36.412112378731024,4617.010194147233,0.6186180930807161,-2401.5212800218505,-0.04163943036242216,-299.09091397649354,0
2021-05-28,32.91090092259357,4578.5044436531925,0.7960610038690626,-2270.9901146288394,-0.10896606756863864,-284.8775091057132,0
2021-05-29,31.618231990887907,4504.3662913935705,0.6621639477527927,-2342.3204655257505,-0.13479143818009537,-290.63938976860027,0
2021-05-30,34.34535993269824,4388.335105351189,0.47730671029809235,-2357.2919668776813,-0.10728428049357729,-171.1572752787797,0
2021-05-31,38.463124180839856,4305.33293261433,0.5984351344511791,-2341.76458582365,-0.0652680076172264,58.77443706633949,0
2021-06-01,37.47208630746436,4148.498325762195,0.5484598603592813,-2318.6382478991945,-0.08074535110945735,198.79631599653294,1
2021-06-02,39.76844874921589,4013.9649631613515,0.5514098378793152,-2154.080896265892,-0.057889472312267744,372.8344613757363,0
2021-06-03,43.84390450254601,3886.894642091272,0.6014244128240689,-1889.5012839123228,-0.01676544761944859,605.6579249164906,0
