fast,slow,rsi_period,rsi_threshold,risk_per_trade,atr_period,atr_multiplier,Periodo,Capital Final,Ganancia Neta (%),Drawdown Máximo (%),Total de Operaciones,Tasa de Acierto (%),Factor de Beneficio
10,40,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,11388.11,13.88,4.78,48,47.92,1.60
15,40,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11618.83,16.19,10.74,49,44.90,1.56
15,40,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11618.83,16.19,10.74,49,44.90,1.56
15,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10955.70,9.56,5.73,34,47.06,1.56
15,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11365.41,13.65,4.52,49,44.90,1.53
15,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,11365.41,13.65,4.52,49,44.90,1.53
20,40,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10947.36,9.47,5.41,34,41.18,1.53
10,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,11079.82,10.80,10.45,38,47.37,1.50
20,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10912.28,9.12,6.01,35,45.71,1.50
10,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10941.53,9.42,6.15,38,47.37,1.50
20,50,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10692.11,6.92,5.21,29,44.83,1.49
10,40,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11522.57,15.23,10.84,64,42.19,1.44
10,40,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11522.57,15.23,10.84,64,42.19,1.44
15,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11004.32,10.04,8.71,45,42.22,1.41
15,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,11004.32,10.04,8.71,45,42.22,1.41
20,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10964.12,9.64,5.03,42,40.48,1.40
20,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10964.12,9.64,5.03,42,40.48,1.40
10,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10819.62,8.20,9.25,37,45.95,1.36
10,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10775.15,7.75,4.13,37,43.24,1.36
15,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10666.96,6.67,6.90,38,44.74,1.32
10,50,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10802.39,8.02,13.00,44,45.45,1.32
20,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10539.19,5.39,6.21,31,41.94,1.31
20,40,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10726.22,7.26,6.29,40,37.50,1.30
10,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10879.98,8.80,12.54,52,42.31,1.29
10,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10879.98,8.80,12.54,52,42.31,1.29
10,40,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10864.66,8.65,6.54,64,40.62,1.28
10,40,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10864.66,8.65,6.54,64,40.62,1.28
10,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10610.33,6.10,8.61,44,45.45,1.28
20,50,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10555.51,5.56,7.24,38,42.11,1.26
20,50,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10555.51,5.56,7.24,38,42.11,1.26
15,60,21,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10521.99,5.22,7.43,35,45.71,1.26
10,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10594.09,5.94,8.39,52,42.31,1.22
10,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10594.09,5.94,8.39,52,42.31,1.22
15,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10425.11,4.25,4.83,34,41.18,1.22
15,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10556.12,5.56,6.24,45,37.78,1.22
15,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10556.12,5.56,6.24,45,37.78,1.22
20,50,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10341.03,3.41,3.62,29,44.83,1.21
20,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10372.75,3.73,3.62,35,40.00,1.18
20,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10307.86,3.08,4.62,31,35.48,1.18
20,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10355.62,3.56,8.29,37,37.84,1.15
20,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10355.62,3.56,8.29,37,37.84,1.15
10,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10390.32,3.90,12.82,45,44.44,1.14
15,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,10239.51,2.40,8.89,37,43.24,1.11
10,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10247.47,2.47,8.23,45,40.00,1.09
15,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10206.82,2.07,8.89,40,42.50,1.08
15,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10206.82,2.07,8.89,40,42.50,1.08
15,50,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10180.77,1.81,4.83,38,39.47,1.08
20,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10108.82,1.09,5.94,37,32.43,1.05
20,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10108.82,1.09,5.94,37,32.43,1.05
15,60,21,55,0.02,14,3.00,2022-08-15 a 2025-08-14,10094.45,0.94,5.32,35,42.86,1.04
20,50,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10061.90,0.62,4.71,38,36.84,1.03
20,50,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,10061.90,0.62,4.71,38,36.84,1.03
10,60,14,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10026.00,0.26,13.36,49,40.82,1.01
10,60,21,50,0.02,14,2.50,2022-08-15 a 2025-08-14,10026.00,0.26,13.36,49,40.82,1.01
20,60,14,55,0.02,14,2.50,2022-08-15 a 2025-08-14,9961.53,-0.38,8.77,35,37.14,0.98
10,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9947.39,-0.53,8.70,49,36.73,0.98
10,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9947.39,-0.53,8.70,49,36.73,0.98
15,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9842.13,-1.58,6.81,37,40.54,0.93
20,60,14,55,0.02,14,3.00,2022-08-15 a 2025-08-14,9851.71,-1.48,7.39,35,31.43,0.93
15,60,21,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9766.52,-2.33,6.81,40,40.00,0.91
15,60,14,50,0.02,14,3.00,2022-08-15 a 2025-08-14,9766.52,-2.33,6.81,40,40.00,0.91
